VARNAMES:,CID,CIDint,IDSURVEY,TYPE,FIELD,CUTFLAG_SNANA,ERRFLAG_FIT,zHEL,zHELERR,zCMB,zCMBERR,zHD,zHDERR,VPEC,VPECERR,LENSDMU,LENSDMUERR,MWEBV,HOST_NMATCH,HOST_NMATCH2,HOST_OBJID,HOST_ZPHOT,HOST_ZPHOTERR,HOST_ZSPEC,HOST_ZSPECERR,HOST_RA,HOST_DEC,HOST_ANGSEP,HOST_DDLR,HOST_CONFUSION,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_LOGSFR,HOST_LOGSFR_ERR,HOST_LOGsSFR,HOST_LOGsSFR_ERR,HOST_COLOR,HOST_COLOR_ERR,HOST_MAG_g,HOST_MAG_i,HOST_SBFLUXCAL_g,HOST_SBFLUXCAL_i,HOST_SBMAG_g,HOST_SBMAG_i,PKMJDINI,SNRMAX1,SNRMAX2,SNRMAX3,SNRSUM,BANDLIST,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITCHI2,FITPROB,RADIUS_POP,PROB_SCONE,PROB_SNIRFV19,PROB_SNNDESCC,PROB_SNNJ17,PROB_SNNV19,CUTMASK,MU,MUMODEL,MUERR,MUERR_RENORM,MUERR_RAW,MUERR_VPEC,MURES,MUPULL,M0DIF,M0DIFERR,CHI2_BEAMS,PROBCC_BEAMS,biasCor_nevt,biasCor_mu,biasCorErr_mu,biasCor_muCOVSCALE,biasCor_muCOVADD,IDSAMPLE,IZBIN
SN:,2004ef,0,64,1,VOID,3,0,0.03101,0.00002,0.02978,0.00002,0.03012,0.00086,-9.96E+01,250,0,0,4.72E-02,1,1,0,-9,-9,-9,-9,-999,-999,-9,-9,-9,10.825,0.172,0.516,0.882,-1.03E+01,0.89861,1.056,-999,999,999,-999,-999,99,99,53265.6484,90.79475,90.79472,90.79467,1064.45532,bcdehqrst,53264.6641,0.0634,-1.72E+00,7.66E-02,5.95E-02,1.13E-02,16.57759,1.45E-02,4.20E-03,5.59E-05,2.24E-04,-1.28E-06,-4.85E-07,223,67.54153,1,0.606769,-9,-9,-9,-9,-9,0,35.5473,35.60443,0.13617,0.1369,0.0269,0.061,-0.0915,-0.672,0.0344,0.0105,0.26,0.00E+00,6228,-0.1032,0.003,1,0.0129,0,0
SN:,2007nq,2,65,1,VOID,3,0,0.04389,0.00006,0.04275,0.00006,0.04349,0.00087,-2.13E+02,250,0,0,3.05E-02,1,1,0,-9,-9,-9,-9,-999,-999,-9,-9,-9,11.163,0.102,0.868,10.868,-1.03E+01,10.86848,1.556,-999,999,999,-999,-999,99,99,54400.6719,83.96664,76.85843,76.85841,488.5473,bcdeiABCD,54398.375,0.2259,-1.99E+00,0.14314,-6.45E-02,1.53E-02,17.09512,2.08E-02,2.61E-03,5.00E-05,8.40E-04,-2.41E-06,-5.43E-07,132,50.48432,1,0.69739,-9,-9,-9,-9,-9,0,36.36083,36.42236,0.08782,0.0883,0.0367,0.0425,-0.0959,-1.093,0.0344,0.0105,0.12,0.00E+00,6510,-0.0549,0.002,1,0.0033,0,0
SN:,2006az,5,64,1,VOID,3,0,0.03103,0.00001,0.03158,0.00001,0.03201,0.00086,-1.24E+02,250,0,0,1.19E-02,1,1,0,-9,-9,-9,-9,-999,-999,-9,-9,-9,11.152,9.10E-02,-6.50E-01,9.35,-1.18E+01,9.35044,1.622,-999,999,999,-999,-999,99,99,53825.2852,77.05448,71.88287,63.36833,483.02863,qrst,53826.8086,0.1581,-1.59E+00,0.12427,-9.95E-02,1.61E-02,16.18893,1.92E-02,6.00E-03,1.06E-04,6.07E-04,-4.21E-06,-1.39E-06,117,51.69769,1,0.624199,-9,-9,-9,-9,-9,0,35.60595,35.73569,0.09571,0.0962,0.0375,0.0575,-0.1641,-1.715,0.0344,0.0105,2.04,0.00E+00,5931,-0.0282,0.002,1,0.0032,0,0
SN:,2007is,6,65,1,VOID,3,0,0.02953,0.00001,0.02953,0.00001,0.02866,0.00086,253.02,250,0,0,1.75E-02,1,1,0,-9,-9,-9,-9,-999,-999,-9,-9,-9,10.651,0.147,0.631,0.655,-1.00E+01,0.67129,1.092,-999,999,999,-999,-999,99,99,54368.1016,49.75131,47.61862,45.24919,123.69725,ABCD,54365.582,0.6777,7.80E-02,0.23728,-1.11E-02,2.10E-02,16.1189,3.44E-02,6.40E-03,2.03E-04,-1.54E-03,3.62E-05,-4.20E-06,14,23.0212,5.99E-02,0.045267,-9,-9,-9,-9,-9,0,35.58174,35.49414,0.12342,0.1241,0.0629,0.0641,0.0532,0.431,0.0344,0.0105,-0.2,0.00E+00,8814,-0.0711,0.002,1,0.0059,0,0
SN:,2008gb,7,65,1,VOID,3,0,0.037,0.00009,0.03641,0.00009,0.03796,0.00087,-4.47E+02,250,0,0,0.17054,1,1,0,-9,-9,-9,-9,-999,-999,-9,-9,-9,10.387,4.30E-02,0.942,1.883,-9.45E+00,1.88349,0.898,-999,999,999,-999,-999,99,99,54748.5,34.72214,34.12988,32.2578,135.47934,ABCD,54747.082,0.5075,-7.29E-02,0.27633,1.83E-03,2.02E-02,16.80286,4.13E-02,3.41E-03,1.30E-04,8.00E-04,4.52E-06,-1.85E-06,44,18.73031,0.9997,0.025068,-9,-9,-9,-9,-9,0,36.20641,36.11545,0.11569,0.1163,0.0536,0.0486,0.0565,0.489,0.0344,0.0105,-0.28,0.00E+00,8814,-0.0779,0.002,1,0.0069,0,0
SN:,2007ux,9,65,1,VOID,3,0,0.0307,0.00001,0.03183,0.00001,0.03264,0.00086,-2.33E+02,250,0,0,3.87E-02,1,1,0,-9,-9,-9,-9,-999,-999,-9,-9,-9,10.189,7.70E-02,-7.00E-03,9.993,-1.02E+01,9.9933,1.402,-999,999,999,-999,-999,99,99,54468.7617,83.9669,80.40179,76.85851,441.35651,bcdeiABCD,54465.1211,0.3551,-2.96E+00,0.17299,0.10854,2.04E-02,17.04465,3.18E-02,2.73E-03,7.99E-05,4.96E-04,4.07E-07,-1.14E-06,106,59.10109,0.99994,1.049457,-9,-9,-9,-9,-9,0,35.67592,35.777,0.15593,0.1568,0.0505,0.0564,-0.1355,-0.869,0.0344,0.0105,0.83,0.00E+00,510,-0.1273,0.017,1,0.0173,0,0
SN:,2002hd,12,63,1,VOID,3,0,0.03049,0.00015,0.03154,0.00015,0.03134,0.00087,57.72,250,0,0,3.27E-02,1,1,0,-9,-9,-9,-9,-999,-999,-9,-9,-9,11.144,0.117,0.733,10.733,-1.04E+01,10.73364,1.55,-999,999,999,-999,-999,99,99,52579.4766,77.05212,71.88383,67.36084,230.12857,vwxy,52575.1406,0.7072,2.08871,0.80077,0.11703,3.55E-02,16.57841,4.80E-02,4.19E-03,1.85E-04,2.34E-02,-9.14E-05,-4.48E-06,15,26.3392,3.46E-02,0.798072,-9,-9,-9,-9,-9,0,36.00315,35.68895,0.17813,0.1791,0.0944,0.0587,0.2798,1.571,0.0344,0.0105,2.81,0.00E+00,912,-0.0968,0.012,1,0.0181,0,0
SN:,2006is,18,64,1,VOID,3,0,0.0314,0.00009,0.03149,0.00009,0.03071,0.00086,228.09,250,0,0,2.90E-02,1,1,0,-9,-9,-9,-9,-999,-999,-9,-9,-9,9.243,1.60E-02,-10,0,-1.92E+01,1.60E-02,2.286,-999,999,999,-999,-999,99,99,54008.8984,93.81402,93.81394,93.8139,544.88824,bcdeiqrst,54006.5078,0.3609,2.11992,0.15586,-8.58E-02,1.47E-02,15.79149,2.36E-02,8.66E-03,1.88E-04,3.51E-04,-2.25E-06,-1.78E-06,80,59.4755,0.95843,0.762369,-9,-9,-9,-9,-9,0,35.72373,35.64708,0.11155,0.1121,0.0412,0.0599,0.0422,0.379,0.0344,0.0105,-0.45,0.00E+00,918,0.0057,0.007,1,0.0059,0,0
SN:,2004gu,21,5,1,VOID,3,0,0.04558,0.00002,0.0467,0.00002,0.04664,0.00087,18.53,250,0,0,2.28E-02,1,1,0,-9,-9,-9,-9,-999,-999,-9,-9,-9,10.219,0.224,8.20E-02,10.082,-1.01E+01,10.08449,1.475,-999,999,999,-999,-999,99,99,53363.8594,80.40163,80.40141,73.4006,613.01337,bcdeh,53363.1172,0.147,1.43888,7.89E-02,9.42E-02,1.11E-02,17.14525,1.25E-02,2.49E-03,2.86E-05,9.32E-05,-3.15E-07,-2.44E-07,122,96.04539,0.96021,0.573251,-9,-9,-9,-9,-9,0,36.54971,36.57613,0.13079,0.1315,0.0291,0.0397,-0.0556,-0.425,0.0292,0.0136,-0.09,0.00E+00,1998,-0.1143,0.006,1,0.0134,0,1
SN:,2005eq,25,64,1,VOID,3,0,0.02893,0.00001,0.02831,0.00001,0.02823,0.00086,23.08,250,0,0,6.36E-02,1,1,0,-9,-9,-9,-9,-999,-999,-9,-9,-9,10.617,8.40E-02,0.858,0.694,-9.76E+00,0.69907,1.03,-999,999,999,-999,-999,99,99,53650.418,87.46832,87.46777,87.46721,837.80145,bcdehqrst,53655.1328,0.0993,1.48957,6.63E-02,1.69E-02,9.63E-03,16.02149,1.61E-02,7.00E-03,1.04E-04,1.19E-04,-1.17E-06,-7.40E-07,180,101.42544,1,0.4997,-9,-9,-9,-9,-9,0,35.63531,35.46027,0.1195,0.1201,0.0227,0.065,0.1406,1.177,0.0344,0.0105,0.93,0.00E+00,4190,-0.072,0.004,1,0.0083,0,0
