CID_1,Euclid_ID_x,IDSURVEY_1,zHD_1,zHDERR_1,HOST_LOGMASS_1,HOST_LOGMASS_ERR_1,HOST_LOGSFR_1,HOST_LOGSFR_ERR_1,HOST_LOGsSFR_1,HOST_LOGsSFR_ERR_1,HOST_COLOR_1,HOST_COLOR_ERR_1,logmass,logmass_err,MATCH,disk_sersic_sersic_index,disk_sersic_sersic_index_err,phz_pp_median_sfhage,phz_pp_mode_sfhage,phz_pp_68_sfhage,phz_pp_median_sfhtimescale,phz_pp_mode_sfhtimescale,phz_pp_68_sfhtimescale,phz_pp_median_sfr,phz_pp_mode_sfr,phz_pp_68_sfr,phz_pp_median_stellarmass,phz_pp_mode_stellarmass,phz_pp_68_stellarmass,phz_pp_median_stellarmetallicity,phz_pp_mode_stellarmetallicity,phz_pp_68_stellarmetallicity,galaxyclass,sfhtype,imf,CID string,VARNAMES:,CID_2,CIDint,IDSURVEY_2,TYPE,FIELD,CUTFLAG_SNANA,ERRFLAG_FIT,zHEL,zHELERR,zCMB,zCMBERR,zHD_2,zHDERR_2,VPEC,VPECERR,LENSDMU,LENSDMUERR,MWEBV,HOST_NMATCH,HOST_NMATCH2,HOST_OBJID,HOST_ZPHOT,HOST_ZPHOTERR,HOST_ZSPEC,HOST_ZSPECERR,HOST_RA,HOST_DEC,HOST_ANGSEP,HOST_DDLR,HOST_CONFUSION,HOST_LOGMASS_2,HOST_LOGMASS_ERR_2,HOST_LOGSFR_2,HOST_LOGSFR_ERR_2,HOST_LOGsSFR_2,HOST_LOGsSFR_ERR_2,HOST_COLOR_2,HOST_COLOR_ERR_2,HOST_MAG_g,HOST_MAG_i,HOST_SBFLUXCAL_g,HOST_SBFLUXCAL_i,HOST_SBMAG_g,HOST_SBMAG_i,PKMJDINI,SNRMAX1,SNRMAX2,SNRMAX3,SNRSUM,BANDLIST,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITCHI2,FITPROB,RADIUS_POP,PROB_SCONE,PROB_SNIRFV19,PROB_SNNDESCC,PROB_SNNJ17,PROB_SNNV19,CUTMASK,MU,MUMODEL,MUERR,MUERR_RENORM,MUERR_RAW,MUERR_VPEC,MURES,MUPULL,M0DIF,M0DIFERR,CHI2_BEAMS,PROBCC_BEAMS,biasCor_nevt,biasCor_mu,biasCorErr_mu,biasCor_muCOVSCALE,biasCor_muCOVADD,IDSAMPLE,IZBIN
1280790,-5.15E17,10,0.63211,0.00192,10.394,0.014,0.596,0.263,-9.785,0.26771,1.056,-999,10.394,0.014,false,,,2.503968477,4.884310246,"[0.26964810490608215,4.884310245513916]",0.704352796,0.7068066,"[0.10495965927839279,4.5619611740112305]",0.542637289,-0.308403015,"[-0.3109990358352661,1.254760503768921]",10.38419628,10.38679218,"[10.32795238494873,10.482725143432617]",0.857554018,1.132743478,"[0.29247283935546875,1.1502563953399658]",-99,-99,-99,1280790,SN:,1280790,1280790,10,0,C3,3,0,0.63278,0.001,0.63211,0.001,0.63211,0.00192,0.0,300,0,0,0.0147,1,1,-5306,-9,-9,0.6328,0.001,51.480549,-28.215427,1.074,1.192,-9.0,10.394,0.014,0.596,0.263,-9.79,0.26771,1.056,-999,24.5,22.41,2.19,15.44,26.64889,24.52838,57265.3008,14.88681,14.41178,14.09108,41.63441,riz,57258.4531,0.8389,-1.54,0.60483,-0.0135,0.0638,23.61459,0.0597,6.43E-6,3.54E-7,0.0184,-1.54E-7,-1.39E-8,34,49.23075,0.0441,0.515469,0.9628,0.98,0.9908,0.9994,0.9518,0,42.82135,42.85832,0.20301,0.2085,0.1731,0.0043,-0.0432,-0.213,0.0062,0.0107,0.67,0.00207,5697,-0.0805,0.007,1.0,0.01,3,15
1335432,-5.16E17,10,0.42692,0.00174,10.229,0.014,0.494,0.268,-9.706,0.27002,0.895,-999,10.229,0.014,false,,,1.742099166,1.742099166,"[1.2591171264648438,1.8549778461456299]",4.194149494,4.194149494,"[0.5573028922080994,4.194149494171143]",1.61674571,1.61674571,"[1.21636164188385,1.6167457103729248]",10.43502045,10.43502045,"[10.350428581237793,10.460421562194824]",0.618777871,0.618777871,"[0.618777871131897,1.2660272121429443]",-99,-99,-99,1335432,SN:,1335432,1335432,10,0,C3,3,0,0.42751,0.001,0.42692,0.001,0.42692,0.00174,0.0,300,0,0,0.0125,1,2,41156,-9,-9,0.4275,0.001,51.550018,-28.163715,1.52,1.116,-2.97,10.229,0.014,0.494,0.268,-9.71,0.27002,0.895,-999,23.61,21.69,6.98,35.05,25.39036,23.63828,57345.2617,53.73367,39.84695,21.07446,130.73666,riz,57344.668,0.3896,-1.84,0.3293,-0.0814,0.0455,22.63621,0.0534,1.58E-5,7.79E-7,0.00505,-1.24E-7,-3.08E-8,36,15.75522,0.99865,0.670866,0.9925,0.986,1.0,0.9999,1.0,0,41.93286,41.84256,0.13192,0.1314,0.1057,0.006,0.0867,0.657,0.0036,0.013,0.18,0.0,1116,-0.0073,0.008,1.0,0.005,3,12
1644180,-5.16E17,10,0.61154,0.0019,11.003,0.015,1.001,0.296,-9.983,0.29762,0.966,-999,11.003,0.015,false,,,,,"[NaN,NaN]",,,"[NaN,NaN]",,,"[NaN,NaN]",,,"[NaN,NaN]",,,"[NaN,NaN]",-1,-1,-1,1644180,SN:,1644180,1644180,10,0,C3,3,0,0.6122,0.001,0.61154,0.001,0.61154,0.0019,0.0,300,0,0,0.0134,2,6,111224,-9,-9,0.6122,0.001,51.557453,-28.233849,2.16,1.712,-0.244,11.003,0.015,1.001,0.296,-9.98,0.29762,0.966,-999,23.83,21.26,5.86,20.78,25.58026,24.20589,57751.0859,42.16373,30.44277,18.06906,91.52592,riz,57753.7656,0.358,0.4507,0.33564,-0.0248,0.0274,23.33391,0.0245,8.33E-6,1.88E-7,0.00242,-4.39E-8,-2.35E-9,26,15.66439,0.94394,0.171471,0.9977,1.0,1.0,0.9999,1.0,0,42.84893,42.77189,0.14036,0.144,0.099,0.0044,0.0709,0.505,0.0062,0.0107,0.12,0.0,8142,-0.0174,0.004,1.0,0.0086,3,15
1261259,-5.16E17,10,0.52723,0.00183,10.125,0.011,0.495,0.009,-9.623,0.0210238,0.504,-999,10.125,0.011,false,,,1.266321659,1.266321659,"[1.2663216590881348,1.2663216590881348]",3.839616299,3.839616299,"[3.839616298675537,3.839616298675537]",1.364197731,1.364197731,"[1.3641977310180664,1.3641977310180664]",10.04669094,10.04669094,"[10.046690940856934,10.096173286437988]",1.825688958,1.825688958,"[1.8256889581680298,1.8256889581680298]",-99,-99,-99,1261259,SN:,1261259,1261259,10,0,C3,3,0,0.52786,0.001,0.52723,0.001,0.52723,0.00183,0.0,300,0,0,0.0118,1,2,5349,-9,-9,0.5279,0.001,51.558685,-28.13479,0.47,0.506,-4.03,10.125,0.011,0.495,0.009,-9.62,0.021,0.504,-999,23.32,21.72,12.4,57.42,24.76645,23.10234,56648.2109,52.17666,39.49897,27.29761,119.67856,riz,56645.0273,0.2543,0.29105,0.26729,-0.0642,0.025,22.79228,0.026,1.37E-5,3.28E-7,0.00223,-5.53E-8,-5.95E-9,30,16.1284,0.98163,0.235014,0.9998,1.0,1.0,0.9991,1.0,0,42.38955,42.38602,0.11526,0.1166,0.0767,0.005,0.0099,0.086,-0.0064,0.011,-0.52,0.0,6673,-0.0026,0.004,1.0,0.0061,3,14
1313057,-5.16E17,10,0.33754,0.00167,10.375,0.012,0.63,0.02,-9.732,0.0256125,1.223,-999,10.375,0.012,true,,,2.647355795,1.589647412,"[1.5896474123001099,6.190202236175537]",17.35443115,7.172626972,"[7.172626972198486,24.953344345092773]",1.922512174,2.07102108,"[1.6295605897903442,2.07102108001709]",10.86392117,10.82942581,"[10.829425811767578,10.957194328308105]",1.72354424,1.423865199,"[1.4238651990890503,1.84430730342865]",-99,-99,-99,1313057,SN:,1313057,1313057,10,0,C3,3,0,0.33809,0.001,0.33754,0.001,0.33754,0.00167,0.0,300,0,0,0.00958,1,4,25922,-9,-9,0.3381,0.001,51.647289,-28.021437,0.413,0.29,-4.16,10.375,0.012,0.63,0.02,-9.73,0.0256,1.223,-999,23.42,21.42,10.72,71.38,24.92451,22.86606,57001.1992,43.25761,37.55243,23.7769,119.92851,griz,56998.9844,0.1799,0.44117,0.19455,0.22974,0.0179,22.61664,0.0226,1.61E-5,3.35E-7,9.47E-4,-3.35E-8,-4.51E-9,39,44.64653,0.24649,0.779777,0.9644,0.6487,1.0,0.9994,0.9999,0,41.43363,41.24646,0.22228,0.2215,0.0543,0.0074,0.1847,0.831,0.0025,0.0125,1.48,3.91E-6,1468,-0.1212,0.016,1.0,0.0452,3,10
1261587,-5.17E17,10,0.65387,0.00193,10.2,0.041,-0.979,9.021,-11.157,9.02131,1.325,-999,10.2,0.041,false,,,1.600815654,5.15955925,"[1.279707670211792,2.2321982383728027]",0.049513474,1.672545314,"[0.015477525070309639,0.19729959964752197]",-7.809467316,0.54535377,"[-28.773820877075195,0.07337453961372375]",10.03205776,10.23722935,"[9.997821807861328,10.16204833984375]",1.612217188,0.116362318,"[0.5571669936180115,1.910719633102417]",-99,-99,-99,1261587,SN:,1261587,1261587,10,0,C3,3,0,0.65455,0.001,0.65387,0.001,0.65387,0.00193,0.0,300,0,0,0.0121,1,2,4719,-9,-9,0.6546,0.001,51.658005,-28.311613,0.194,0.3,-4.84,10.2,0.041,-0.979,9.021,-11.2,9.02131,1.325,-999,25.15,22.45,1.89,24.78,26.80885,24.01475,56660.1367,38.29764,29.84082,20.92148,88.70753,riz,56650.3086,0.434,1.23419,0.40963,-1.18E-4,0.0308,23.32238,0.0308,8.41E-6,2.39E-7,0.0046,-7.21E-8,-4.05E-9,27,23.38255,0.6643,0.411396,0.9858,1.0,0.9998,0.9148,0.9969,0,42.85569,42.94687,0.15248,0.1565,0.1066,0.0041,-0.0974,-0.639,0.0062,0.0107,0.44,1.01E-4,1819,0.0189,0.009,1.0,0.0106,3,15
1303699,-5.17E17,10,0.79547,0.00206,11.613,0.007,-1.534,0.197,-13.095,0.19791,1.199,-999,11.613,0.007,false,,,2.739420652,2.302785158,"[2.3027851581573486,4.219410419464111]",0.037832007,0.037832007,"[0.020832672715187073,0.06922419369220734]",-19.92345428,-19.92177582,"[-79.81849670410156,-9.001523971557617]",11.41061401,11.35615444,"[11.356154441833496,11.461097717285156]",1.124121547,1.88880682,"[1.0129954814910889,1.8888068199157715]",-99,-99,-99,1303699,SN:,1303699,1303699,10,0,C3,3,0,0.79621,0.001,0.79547,0.001,0.79547,0.00206,0.0,300,0,0,0.00933,1,1,335959,-9,-9,0.7962,0.001,51.658554,-27.895477,0.878,0.356,-9.0,11.613,0.007,-1.53,0.197,-13.1,0.19791,1.199,-999,25.22,26.81,2.41,65.81,26.54496,22.95427,56956.3125,21.94316,15.92984,12.16422,45.13618,riz,56955.1719,0.6408,0.44896,0.48634,-0.0433,0.0392,23.7673,0.0385,5.59E-6,1.98E-7,0.00553,-6.0E-8,5.22E-10,33,25.02646,0.83891,0.207869,0.8663,0.9846,0.9926,0.9953,0.9999,0,43.28644,43.46186,0.16867,0.1709,0.1551,0.0035,-0.1625,-0.964,-0.0129,0.0174,1.16,4.48E-6,7993,0.0363,0.005,0.99,0.0,3,17
1474020,-5.17E17,10,0.54148,0.00184,9.446,0.026,1.221,0.003,-8.198,0.003,0.328,-999,9.446,0.026,false,,,0.800647497,1.862663031,"[0.337253212928772,1.8626630306243896]",0.261892974,14.531106,"[0.05526624619960785,14.531105995178223]",0.565505385,0.605163217,"[0.22392311692237854,0.6139861345291138]",9.438136101,9.410336494,"[9.38525390625,9.514344215393066]",0.45818758,0.45818758,"[0.2929896414279938,1.2500109672546387]",-99,-99,-99,1474020,SN:,1474020,1474020,10,0,C3,3,0,0.54211,0.001,0.54148,0.001,0.54148,0.00184,0.0,300,0,0,0.00813,2,5,103654,-9,-9,0.5421,0.001,51.749657,-28.163149,0.137,0.179,-4.5,9.446,0.026,1.221,0.003,-8.2,0.003,0.328,-999,23.95,22.7,6.43,22.29,25.47947,24.12972,57681.3008,19.23851,19.16846,15.14012,59.82008,riz,57680.6172,0.3899,-0.0586,0.33685,0.0778,0.0384,23.30601,0.042,8.54E-6,3.31E-7,0.00446,-6.86E-8,-9.65E-9,35,27.98172,0.79428,0.260228,0.9978,0.9187,0.9997,0.9988,1.0,0,42.40943,42.45517,0.22433,0.227,0.1047,0.0049,-0.0394,-0.175,-0.0064,0.011,0.84,0.0,4211,-0.0475,0.009,1.0,0.0381,3,14
1316626,-5.18E17,10,0.61601,0.0019,9.932,0.034,0.474,0.584,-9.45,0.59105,1.03,-999,9.932,0.034,false,,,3.906099319,0.022017442,"[0.02422243356704712,8.620879173278809]",1.242194176,0.045332432,"[0.07077714055776596,2.4486382007598877]",-0.238586485,2.194277525,"[-0.7588199973106384,2.220855712890625]",9.477041245,10.14780426,"[9.276019096374512,10.171844482421875]",0.558219016,1.848656178,"[0.1981327086687088,1.9304938316345215]",-99,-99,-99,1316626,SN:,1316626,1316626,10,0,C3,3,0,0.61667,0.001,0.61601,0.001,0.61601,0.0019,0.0,300,0,0,0.00906,1,1,27449,-9,-9,0.6167,0.001,51.751858,-28.535896,0.194,0.318,-9.0,9.932,0.034,0.474,0.584,-9.45,0.59105,1.03,-999,25.14,23.1,2.0,14.4,26.74743,24.60409,57018.2109,23.56512,20.32847,16.98854,67.99406,riz,57020.6055,0.3591,0.80073,0.37784,0.022,0.0338,23.45176,0.0347,7.47E-6,2.39E-7,0.00484,-6.86E-8,-4.87E-9,27,23.74531,0.6444,0.276786,0.9952,0.99,1.0,0.998,1.0,0,42.83136,42.7909,0.18848,0.1934,0.1072,0.0044,0.0343,0.182,0.0062,0.0107,0.49,0.0,4240,-0.0032,0.006,1.0,0.0228,3,15
1334707,-5.18E17,10,0.64922,0.00193,9.025,0.012,0.751,0.321,-8.253,0.32249,-0.256,-999,9.025,0.012,false,,,0.2297052,0.218126357,"[0.11543692648410797,0.7232494354248047]",0.838933408,0.246804669,"[0.24680466949939728,6.800931930541992]",-0.978413701,-0.916894674,"[-1.10724937915802,-0.9168946743011475]",7.166665077,7.167196274,"[6.980428695678711,7.365547180175781]",1.439906478,1.577541709,"[1.0425399541854858,1.577541708946228]",-99,-99,-99,1334707,SN:,1334707,1334707,10,101,C3,3,0,0.64989,0.001,0.64922,0.001,0.64922,0.00193,0.0,300,0,0,0.0102,2,2,40689,-9,-9,0.6499,0.001,51.776424,-28.627806,0.266,0.448,-3.12,9.025,0.012,0.751,0.321,-8.25,0.32249,-0.256,-999,23.77,23.0,7.05,15.3,25.37953,24.53827,57339.1328,34.55302,30.69723,23.61758,108.3943,riz,57339.8203,0.2937,0.81067,0.26126,-0.119,0.0238,23.14953,0.0236,9.87E-6,2.15E-7,0.00181,-4.03E-8,-2.46E-9,37,27.62329,0.8685,0.479185,0.989,0.99,1.0,0.9996,1.0,0,42.87882,42.92818,0.14608,0.1499,0.0851,0.0042,-0.0555,-0.38,0.0062,0.0107,0.09,0.0,2139,0.0912,0.008,1.0,0.0128,3,15
